id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jXPRvJAU/,jXPRvJAU100,100,88,"Goal!  Milan 1, Cagliari 0. Carlos Bacca (Milan) right footed shot from the centre of the box to the bottom left corner. Assisted by Gianluca Lapadula.",1,12,1,AC Milan,Cagliari,carlos bacca,gianluca lapadula,NA,NA,3,1,1,3,1,1,1,0
jXPRvJAU/,jXPRvJAU101,101,88,Mauricio Isla (Cagliari) is shown the yellow card.,4,NA,2,Cagliari,AC Milan,mauricio isla,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU102,102,92,Fabio Pisacane (Cagliari) wins a free kick on the right wing.,8,NA,2,Cagliari,AC Milan,fabio pisacane,NA,NA,NA,NA,NA,0,5,NA,0,NA,0
jXPRvJAU/,jXPRvJAU103,103,92,Foul by M'Baye Niang (Milan).,3,NA,1,AC Milan,Cagliari,mbaye niang,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU104,104,92,"Substitution, Cagliari. Niccolo Giannetti replaces Daniele Dessena.",7,NA,2,Cagliari,AC Milan,NA,NA,niccolo giannetti,daniele dessena,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU105,105,94,Carlos Bacca (Milan) wins a free kick in the attacking half.,8,NA,1,AC Milan,Cagliari,carlos bacca,NA,NA,NA,NA,NA,0,1,NA,0,NA,0
jXPRvJAU/,jXPRvJAU106,106,94,Foul by Bruno Alves (Cagliari).,3,NA,2,Cagliari,AC Milan,bruno alves,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU107,107,94,Bruno Alves (Cagliari) is shown the red card.,6,14,2,Cagliari,AC Milan,bruno alves,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU108,108,95,Attempt missed. Gianluca Lapadula (Milan) left footed shot from outside the box is too high from a direct free kick.,1,NA,1,AC Milan,Cagliari,gianluca lapadula,NA,NA,NA,10,2,0,15,2,0,4,0
jXPRvJAU/,jXPRvJAU109,109,95,Foul by Gianluca Lapadula (Milan).,3,NA,1,AC Milan,Cagliari,gianluca lapadula,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU110,110,95,Nicolo Barella (Cagliari) wins a free kick in the defensive half.,8,NA,2,Cagliari,AC Milan,nicolo barella,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ93,3,2,"Corner,  Villarreal. Conceded by Javier Mascherano.",2,NA,1,Villarreal,Barcelona,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ94,4,3,Attempt saved. Andres Iniesta (Barcelona) right footed shot from outside the box is saved in the top centre of the goal. Assisted by Neymar.,1,12,2,Barcelona,Villarreal,andres iniesta,neymar,NA,NA,11,1,0,15,1,1,1,0
M3U7BqZ9/,M3U7BqZ95,5,4,Foul by Victor Ruiz (Villarreal).,3,NA,1,Villarreal,Barcelona,victor ruiz,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ96,6,4,Luis Suarez (Barcelona) wins a free kick in the defensive half.,8,NA,2,Barcelona,Villarreal,luis suarez,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ97,7,6,Foul by Luis Suarez (Barcelona).,3,NA,2,Barcelona,Villarreal,luis suarez,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ98,8,6,Jaume Costa (Villarreal) wins a free kick in the defensive half.,8,NA,1,Villarreal,Barcelona,jaume costa,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ99,9,8,Attempt blocked. Lionel Messi (Barcelona) left footed shot from the left side of the box is blocked. Assisted by Neymar.,1,12,2,Barcelona,Villarreal,lionel messi,neymar,NA,NA,2,3,0,9,2,1,1,0
M3U7BqZ9/,M3U7BqZ910,10,8,Attempt blocked. Andres Iniesta (Barcelona) right footed shot from outside the box is blocked. Assisted by Lionel Messi.,1,12,2,Barcelona,Villarreal,andres iniesta,lionel messi,NA,NA,2,3,0,15,1,1,1,0
M3U7BqZ9/,M3U7BqZ911,11,9,Attempt blocked. Luis Suarez (Barcelona) left footed shot from the left side of the six yard box is blocked. Assisted by Lionel Messi.,1,12,2,Barcelona,Villarreal,luis suarez,lionel messi,NA,NA,2,3,0,10,2,1,1,0
M3U7BqZ9/,M3U7BqZ912,12,9,Attempt missed. Jonathan dos Santos (Villarreal) right footed shot from the centre of the box is just a bit too high. Assisted by Jaume Costa with a cross.,1,12,1,Villarreal,Barcelona,jonathan dos santos,jaume costa,NA,NA,1,2,0,3,1,2,1,0
M3U7BqZ9/,M3U7BqZ913,13,11,"Offside, Villarreal. Jaume Costa tries a through ball, but Nicola Sansone is caught offside.",9,13,1,Villarreal,Barcelona,nicola sansone,jaume costa,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ914,14,12,Attempt blocked. Jonathan dos Santos (Villarreal) right footed shot from the centre of the box is blocked. Assisted by Alexandre Pato.,1,12,1,Villarreal,Barcelona,jonathan dos santos,alexandre pato,NA,NA,2,3,0,3,1,1,1,0
M3U7BqZ9/,M3U7BqZ915,15,12,Foul by Jaume Costa (Villarreal).,3,NA,1,Villarreal,Barcelona,jaume costa,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ916,16,12,Lionel Messi (Barcelona) wins a free kick in the defensive half.,8,NA,2,Barcelona,Villarreal,lionel messi,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ917,17,15,Foul by Mario (Villarreal).,3,NA,1,Villarreal,Barcelona,mario,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ918,18,15,Neymar (Barcelona) wins a free kick on the left wing.,8,NA,2,Barcelona,Villarreal,neymar,NA,NA,NA,NA,NA,0,4,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ919,19,15,Foul by Roberto Soriano (Villarreal).,3,NA,1,Villarreal,Barcelona,roberto soriano,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ920,20,15,Gerard Pique (Barcelona) wins a free kick in the defensive half.,8,NA,2,Barcelona,Villarreal,gerard pique,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ921,21,17,Andres Iniesta (Barcelona) wins a free kick in the attacking half.,8,NA,2,Barcelona,Villarreal,andres iniesta,NA,NA,NA,NA,NA,0,1,NA,0,NA,0
